1,44,92.63388118196858,13,12,55.580328709181146
1,40,78.40008922639474,3,14,47.04005353583685
1,8,87.9319083764112,42,1,52.75914502584671
1,16,91.8604689115081,47,7,55.116281346904856
1,27,95.99863245778604,30,8,57.59917947467162
1,20,75.24243928765767,22,3,45.14546357259461
1,22,89.59453329337056,23,4,53.75671997602234
1,30,91.08330272083539,14,11,54.64998163250124
1,25,91.59468148413414,40,7,54.95680889048049
1,30,88.49938681805796,19,9,53.099632090834774
1,27,92.04024049876935,28,8,55.22414429926161
